Company name,Job Description,Job Role,Skills,Location,Updated
CONNECTING 2 WORK,"Job Description Job description Expert in Python ,  with knowledge of at least one Python web framework Django Familiarity with some ORM  ( Object Rel...",Python Developer,"security, compliance, python, html5, mobile, javascript, database, django, debugging",Thiruvananthapuram,few days ago
CONNECTING 2 WORK,"Job Description Expert in Python ,  with knowledge of at least one Python web framework DjangoFamiliarity with some ORM  ( Object Relational Mapper ) ...",Python Developer,"security, compliance, python, html5, mobile, javascript, database, django, debugging",Cochin/ Kochi/ Ernakulam,few days ago
NuageBiz.Tech,This is an opportunity for a dynamic professional with 2-4 years of IT experience including 2 years in Python Language. We want you to be a self-drive...,Python Developer,"python, mobile, team, player, svn, security, git, software, engineering",Noida/Greater Noida,few days ago
AxisTechnolabs,"Responsibilities : We are offering you Paid odoo - python internship for 3 months and after completion ,  you will get a job on your hand , 100 PERCEN...",Python Developer,"python, css, user, interaction, bootstrap, openerp, database, xml, oops, html",Ahmedabad,few days ago
gammastack indore,"Youre Awesome at: Candidates should have experience in any one of python web frameworks like django ,  flask ,  bottle etcCandidates should have exper...",Python Developer,"python, database, django, rest, api, oops, machine, learning, artificial, intelligence",Indore,few days ago
Analytics Vidhya,"Must have knowledge of Python  &  good to have JavaMust have knowledge of ML techniques ,  design and implementation experience around custom deep lea...",Python Engineer,"python, machine, learning, java, apache, git, digitization, technical, skills","Gurgaon,  Mumbai,  Bengaluru / Bangalore",few days ago
Advaiya Solutions Pvt Ltd,"Experience in python ,  with around 4-16 years ,  with a strong emphasis on testing and documentation.Experience with modern client-side  /  API techn...",Python Developer,"rest, python, ajax, javascript, django, java, xml, json, api, angularjs",,few days ago
innefu labs pvt. ltd.,"Location: DelhiExperience: 4-5 yearsKey Skills:Strong Experience in Python ,  Django ,  FlaskStrong knowledge of Regular expression ,  Pandas ,  Numpy...",Python Developer,"python, database, django, neo4j, mining, web, crawling","Delhi,  Delhi/NCR",few days ago
pegasus knowledge solutions india pvt ltd.,"Python DeveloperPrimary skill:  Strong Python skills along with web frameworks such as Django / Flask HTML / CSS ,  knowledge in JS based frameworks s...",Python Developer,"python, css, django, java, html, bootstrap, api, jquery, sql",Bengaluru / Bangalore,few days ago
AxisTechnolabs,"Job Description :Responsibilities : - Having strong knowledge in Python framework  ( Django ,  Flask or Pyramid )  - Having strong knowledge in javaSc...",Python developer,"python, django, html5, team, player, angularjs, javascript",Ahmedabad,few days ago
Techasoft Pvt Ltd,"- Troubleshoot ,  test and maintain the core product software and databases to ensure strong optimization and functionality- Contribute in all phases ...",Python Developer,"python, javascript, docker, django, postgresql, oops, mysql, mongodb, opencv",Bengaluru / Bangalore,few days ago
WBC Software Lab,JOB TITLE : Python Developer Duties and Responsibilities : A minimum of 2-5 years work experience in software development using Python Flask and Angul...,Python Developer,"python, git, rest, api, linux, mobile, mongodb, docker",Chennai,few days ago
Squareboat,"What are you going to do? Write effective ,  scalable code.develop back-end components to improve responsiveness and overall performance.integrate use...",Python Developer,"python, html5, problem, solving, javascript, security, django, debugging",Gurgaon,few days ago
FINITE HR CONSUTING PVT LTD,Company Description client of FiniteHR Consulting Pvt LtdJob Description 1. Great object oriented concepts and coding skills in at least one of the fo...,Python Developer,"python, github, mobile, problem, solving, team, player, ruby, java, cassandra, php",Hyderabad/Secunderabad,few days ago
Drawsera,"Job DescriptionPosition:Python DeveloperExperience:1-5 yearsLocation:Andheri West ,  MumbaiJob Description:Develop Enterprise Level Web based or Deskt...",Python Developer,"css, ajax, jquery, sql, database, postgresql, mysql, html, mvc, python, javascript, django",Mumbai,few days ago
CONNECTING 2 WORK,Job Description Delivering high-quality applicationSupporting and fixing existing functionalityAnalyzing requirements and designing new functionalityW...,PYTHON DEVELOPER,"python, css, github, hosting, bug, fixing, bootstrap, javascript, jquery, django, heroku, json, html, api",Bengaluru / Bangalore,few days ago
CONNECTING 2 WORK,Delivering high-quality applicationSupporting and fixing existing functionalityAnalyzing requirements and designing new functionalityWork on bug fixin...,Python Developer,"python, css, github, hosting, bug, fixing, bootstrap, javascript, jquery, django, heroku, json, html, api",Bengaluru / Bangalore,few days ago
CONNECTING 2 WORK,Job Description Key Functions  /  duties  &  Responsibilities of this position:Delivering high-quality applicationSupporting and fixing existing funct...,Python Developer,"python, css, bug, fixing, bootstrap, javascript, jquery, django, debugging, html, api",Thiruvananthapuram,few days ago
CONNECTING 2 WORK,Job Description RESPONSIBILITIESWriting effective and scalable Python codesDesigning and implementing robust applicationsDebugging applications to ens...,Python Developer,"python, storage, sql, security, database, django, git, postgresql, oops, debugging, mysql, api",Cochin/ Kochi/ Ernakulam,few days ago
v support solutions,"Expertise in at least one popular Python framework like Django ,  Flask or Pyramid Python Hard core Developer.Strong experience with core python  ( 3....",Python Developer,"rest, python, natural, language, processing, django, debugging, mysql, software, developer, mongodb, soap",Chennai,few days ago
magnarus technologies private limited,Must have skillsExperience in Python programming language and wxPython GUI tool kitKnowledge in C and C   programming languagesKnowledge about UNIX op...,Python Developer,"image, processing, python, c, c, programming, operating, system, team, player, database, mysql, unix",Hyderabad/Secunderabad,few days ago
botree technologies,Expert in PythonDjango is Must.Familiarity with some ORM  ( Object Relational Mapper )  librariesUnderstanding of the threading limitations of Python ...,Python Developers,"security, compliance, python, html5, svn, javascript, database, django, git, web, developer, debugging",Ahmedabad,few days ago
Veeva Systems,"Veeva is a mission-driven organization that aspires to help our customers in Life Sciences and Regulated industries bring their products to market ,  ...",Python Engineer,"css, database, postgresql, debugging, html, mysql, rest, san, python, javascript, django, forms",,few days ago
ADROIT LEARNING AND MANPOWER PVT LTD,"Experience in application development ,  particularly ,  in Python / React / AWS stack. Someone who can work on application development  ( APIs  /  RE...",Python Developer,"rest, api, sql, database, security, devops, rest, python, tornado, javascript, django, infrastructure",Ahmedabad,few days ago
dynamisch it pvt ltd,: Python DeveloperNo.of Position: 3Experience Required: 4 years Qualification: B.E. / B.Tech / M.E. / M.SSC-IT / MCAResponsibilities:Responsible for A...,Python Developer,"python, django, framework, postgresql, api, development, admin, dashboard, development, html5, heroku, javascript",Pune,few days ago
HashStudioz,"Roles  & amp; Responsibilities:Write effective ,  scalable codeDevelop back-end components to improve responsiveness and overall performanceIntegrate ...",Python Developer,"python, development, framework, expertise, orm, knowledge, front, end, technologies, problem, solving, security, django, html5, javascript","Dehradun,  Mohali",few days ago
Analytics Vidhya,"Roles  &  Responsibilities:Build interfaces used by millions of people every month.architect ,  design ,  build ,  deploy and maintain scalable ,  re-...",Python Developer,"python, css, html5, javascript, sql, django, linux, mysql, html, unix","Hyderabad/Secunderabad,  Chennai",few days ago
Ctd Techs Private Limited,Skill Required: Python DeveloperGood to Have Knowledge in : Must have Experience in Python DevelopingNo. of years of experience : Atleast 3-5 YearsKey...,Python Developer,"html5, storage, artificial, intelligence, security, testing, tools, debugging, python, javascript, django","Chennai,  Bengaluru / Bangalore",few days ago
PNR Software Solutions Private Limited,Job Description We are hiring Python Developer with minimum 3  yrs of experience for our client in Hyderabad.Job Description: Development experience i...,Python Developer,"python, github, telecom, bss, django, devops, linux, debugging, telecom, api, unix",Hyderabad/Secunderabad,few days ago
Veeva Systems,"You must be based in Spain and be eligible for employment within the EU ,  as Veeva does not sponsor employment visa processes for this role.What You'...",Python Engineer,"css, database, postgresql, debugging, html, mysql, rest, san, python, javascript, django, forms",Spain,few days ago
AHOM Technologies Private Limited,We are hiring for python developers. Ideal candidate should have : Strong understanding of Python Web frameworks: DjangoWeb servers: Apache  /  NginxD...,Python Developer,"rest, python, html5, javascript, jquery, sql, database, management, django, apache, postgresql, mysql, mongodb",Gurgaon,few days ago
SplendorNet Technologies Pvt. Ltd.,": Python - FresherLogically strong ,  willing to learn and stay long with company is mustShould be familiar with at least one python web development f...",Python - Fresher,"python, css, django, rest, api, web, development, html, angularjs, javascript, jquery",Pune,few days ago
beechi vidya kendra,### A Multinational Technology consulting partner that designs and builds custom digital commerce platforms to power large and small enterprises is lo...,Python Developer,"big, data, /, python, aws, backend, web, development, flask, /, django, /, fastapi, ci, /, cd, practices, technology, consulting",Hyderabad/Secunderabad,few days ago
3Embed Software Technologies,Experience working with Python frameworks like Django.Experience working with data analytics will be a plus.Hands-on experience in creating Rest APIs....,PYTHON DEVELOPERS,"python, django, rest, api, operating, system, mysql, data, structures, hadoop, mvc, mongodb",Bengaluru / Bangalore,few days ago
NLiven Technologies Pvt. Ltd.,Python DeveloperRequired Skills:Experienced in Python ( 2.x / 3.x )  with knowledge of at least one web framework  ( Django / Flask / FastAPI ) Strong...,Python Developer,"rest, python, html5, javascript, jquery, nosql, security, django, git, oops, mysql",Indore,few days ago
mspring infotech,"Position: Python DeveloperIndustry: IT / SoftwareLocation: Bangalore ,  ChennaiExperience: 5 - 7 yearsSalary: INR 5 , 00 , 000 - 7 , 00 , 000 per annu...",Python Developer,"python, javascript, sql, php, html5, c, css, bootstrap, ruby, drupal, magento",Chennai,few days ago
Mind Digital Group,"You will test and deliver solid ,  reliable code that meets all client needs. Develop reusable inhouse standard elements ,  modules ,  and scripts. Yo...",Python Developer,"algorithms, css, bootstrap, git, linux, html, shell, scripting, data, structures, pl, /, sql, solaris, python, rdbms, svn, javascript, django, php, unix, /, linux, unix","Delhi,  Delhi/NCR",few days ago
cloudxlab,"Requirements1.Strong programming knowledge in python ,  Django ,  REST APIs2.Ability to multitask ,  work independently with minimal supervision3.must...",Python Developer,"css, html5, jquery, git, linux, html, mysql, rest, python, github, problem, solving, javascript, django, web, hosting",Bengaluru / Bangalore,few days ago
CONNECTING 2 WORK,Job Description RequirementsWorking experience on web development using Python / DjangoComfortable with using Django framework.Understanding of web se...,Python Developer,"python, cache, rest, api, storage, javascript, react.js, database, django, apache, postgresql, web, technologies, .net, web, development, mysql, angularjs",Bengaluru / Bangalore,few days ago
CONNECTING 2 WORK,Job Description We are looking for a Python Developer to join our engineering team and help us develop and maintain various software products. You sho...,Python Developer,"python, html5, javascript, sql, docker, database, node.js, django, java, postgresql, written, communication, heroku, mysql, angularjs, mongodb",Thiruvananthapuram,few days ago
geekyworks,"What we're looking forSkills required:Python  ( Django / Flask )  ,  MySQL / NoSQL ,  Strong focus on object-oriented programming and unit testing ,  ...",Python Developer,"html5, bootstrap, ajax, git, apache, xml, debugging, mysql, api, rest, python, nosql, django",Pune,few days ago
Excel Ptp,"1  years of work experience as trainer on python to trained fresher.candidate should have knowledge of OOPS ,  Json ,  Jquery ,  JS ,  and working exp...",Python Trainer,"jquery, sql, git, oops, json, mysql, object, oriented, programming, mongodb, middleware, rest, python, svn, machine, learning, django",Ahmedabad,few days ago
sacumen,"Have a minimum of 6-8 Years of Industry experienceBe able to write clean ,  re-usable standards-based codeBe able to design and implement low-latency ...",Python Lead,"html5, sql, docker, elastic, search, security, database, git, devops, linux, debugging, rest, python, github, os, machine, learning, javascript, django",Bengaluru / Bangalore,few days ago
highrise solutions llp,Opening: 3 Nos.Job ID: 42956Employment Type: Full TimeReference:Work Experience: 4.0 Year ( s )  To 7.0 Year ( s ) CTC Salary: Not Disclosed by Recrui...,Python Developer,"python, 3.x, django, linux, mysql, microservices, rest, api, docker, java, postgresql, software, engineer, middleware, team, player, messaging",Pune,few days ago
inflexi technologies pvt ltd,Tesseract OCR LibraryNLP  ( Natural Language Processing )  LibraryMessage Queue in PythonBOTO3 AWS Python APIPython script modularizationError Handlin...,Python Associates,"algorithms, python, css, natural, language, processing, problem, solving, team, player, machine, learning, ajax, javascript, jquery, database, postgresql, xml, message, queue, debugging, data, structures, mysql, html, api",Australia,few days ago
kelly outsourcing,"Job Title: Python DeveloperLocation: HyderabadExperience: 1-3 Yrs.Qualification: Any GraduateSkillsets: Python ,  stremlit ,  LLM ,  Generative AI ,  ...",Python Developer,"python, programming, stremlit, development, llm, generative, ai, deep, learning, algorithms, c, java, debugging, software, engineering, hadoop, big, data, natural, language, processing, machine, learning",Hyderabad/Secunderabad,few days ago
highrise solutions llp,Opening: 5 Nos.Job ID: 41521Employment Type: Full TimeWork Experience: 3.0 Year ( s )  To 6.0 Year ( s ) CTC Salary: Not Disclosed by RecruiterFunctio...,Python developer,"python, development, django, framework, aws, services, restful, apis, ci, /, cd, html5, jquery, docker, sql, git, postgresql, senior, software, developer, access, management, javascript, gateway",Pune,few days ago
HELIOS SOLUTIONS,Job Description We are looking for a Python developer who is responsible for building micro-services oriented architecture applications using technolo...,Python Developer,"security, compliance, rest, api, html5, xml, devops, mysql, api, object, oriented, programming, python, javascript, fundamentals, jquery, docker, grunt, security, database, git, postgresql, iam, cloud, services, junit, svn, django",Vadodara,few days ago
Electrobrain modern technologies pvt ltd,Coordinating with development teams to determine application requirements.Writing scalable code using Python programming language.Testing and debuggin...,Python Developer,"science, Matplotlib, GIT, Pandas, AWS, Numpy, Python, Django, Mongodb, Node, js","Chandigarh,  Vijayawada,  Visakhapatnam,  Mangalore,  Mysoru / Mysore",few days ago
Wipro Technologies Ltd,"Role PurposeThe purpose of this role is to design ,  test and maintain software programs for operating systems or applications which needs to be deplo...",Python Developer,"**, software, design, quality, assurance, root, cause, analysis, process, automation, client, requirement, analysis, **, continuous, integration, test, cases, software, development, life, cycle, usability, software, validation, testing","Bengaluru / Bangalore,  Hyderabad/Secunderabad",few days ago
CONNECTING 2 WORK,Job DescriptionUI / ux designer:Job brief :XYZ are looking for a UI / UX Designer to turn our software into easy-to-use products for our clients.UI / ...,python developer,"ux, ux, designer, photoshop, designing, illustrator",Cochin/ Kochi/ Ernakulam,few days ago
CONNECTING 2 WORK,"Job Description We are looking for a dedicated Senior Python Developer  ( FLASK ) . Ideal candidate should be able to convert a concept into reality ,...",Python Developer,"application, developer, sql, software, engineering, software, development, mobile, mentoring, relational, database, client, communication, application, development, saas",Cochin/ Kochi/ Ernakulam,few days ago
CGI Information Systems and Management Consultants Pvt Ltd,Position Description5 years of strong Bl experience and skills to rapidly use existing data sets to build Power Bl Dashboards and analysis tools. Expe...,PowerBI with Python,"power, bi, expert, sql, proficiency, data, modelling, techniques, azure, technology, knowledge, excel, advanced, skills, css, data, warehousing, bootstrap, database, postgresql, mysql, adf, python, oracle, problem, solving, nosql",,few days ago
CGI Information Systems and Management Consultants Pvt Ltd,"Position DescriptionAt CGI ,  were a team of builders. We call our employees members because all who join CGI are building their own company - one tha...",Python Developer,"python, development, application, solutions, software, engineering, problem, solving, team, collaboration, cgi","Chennai,  Bengaluru / Bangalore,  null,  Hyderabad/Secunderabad",a month ago
CGI Information Systems and Management Consultants Pvt Ltd,"Position Description:At CGI ,  were a team of builders. We call our employees members because all who join CGI are building their own company - one th...",Python Developer,"python, development, scalable, applications, high, performance, solutions, front, end, collaboration, software, engineering, cgi",,a month ago
Wipro Technologies Ltd,"Expert in Python API programming and orchestration using Kubernetes.As an Engineer ,  the resource will be able to work on a wide range of features in...",Python Developer,"python, api, development, kubernetes, orchestration, microservices, architecture, cicd, exposure, customer, handling, skills",Chennai,a month ago
Electrobrain modern technologies pvt ltd,Coordinating with development teams to determine application requirements.Writing scalable code using Python programming language.Testing and debuggin...,Python Developer,"science, Matplotlib, GIT, Pandas, AWS, Numpy, Python, Django, Mongodb, Node, js","Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi,  Delhi/NCR",few days ago
SKYWALK VISA IMMIGRATION SERVICES LLP,"Apply to know more or contact us for more info todayAman - Nine eight six three nine three seven seven three six Write effective ,  scalable codeDevel...",Python Developer,"Python, Scripting, Data, Analysis, Matlab, c, ++, Sql, Data, Visualization, Mysql","Australia,  Canada,  Germany,  Netherlands,  New Zealand",a month ago
SKYWALK VISA IMMIGRATION SERVICES LLP,"Apply to know more or contact us for more info todayAman - Nine eight six three nine three seven seven three six Write effective ,  scalable codeDevel...",Python Developer,"Python, Scripting, Data, Analysis, Matlab, c, ++, Sql, Data, Visualization, Mysql","Bengaluru / Bangalore,  Australia,  Canada,  Germany,  New Zealand",few days ago
Sparks To Ideas,IT Services Company with expert professionals that provides strategic business solutions and customized software. It is a team of dedicated and highly...,Internship for python,"Core, python, Advance, python, oops, concepts, machine, learning, library, pie, cham, numpy, panda's, framework, jango's, framework",Ahmedabad,few days ago
Electrobrain modern technologies pvt ltd,Coordinating with development teams to determine application requirements.Writing scalable code using Python programming language.Testing and debuggin...,Python Developer,"science, Matplotlib, GIT, Pandas, AWS, Numpy, Python, Django, Mongodb, Node, js","Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi,  Delhi/NCR",few days ago
Electrobrain modern technologies pvt ltd,Coordinating with development teams to determine application requirements.Writing scalable code using Python programming language.Testing and debuggin...,Python Developer,"science, Matplotlib, GIT, Pandas, AWS, Numpy, Python, Django, Mongodb, Node, js","Gurgaon,  Hyderabad/Secunderabad,  Mumbai,  Noida/Greater Noida,  Pune",few days ago
SKYWALK VISA IMMIGRATION SERVICES LLP,"Apply to know more or contact us for more info todayAman - Nine eight six three nine three seven seven three six Write effective ,  scalable codeDevel...",Python Developer,"Python, Scripting, Data, Analysis, Matlab, c, ++, Sql, Data, Visualization, Mysql","Bengaluru / Bangalore,  Australia,  Canada,  Germany,  New Zealand",a month ago
Sparks To Ideas,IT Services Company with expert professionals that provides strategic business solutions and customized software. It is a team of dedicated and highly...,Python internship,"HTML, HTML, 5, CSS, CSS, 3, Java, sprit, Boosttrap, Boosttrap, 5",Ahmedabad,few days ago
infinity business solutions pvt ltd,"### **Posted on:** 14-Jun-2020**CORE PYTHON DEVELOPMENT ENGINEER  /  PYTHON EXPERT**  **Location:** Gurgaon  **Experience:** 7 - 10 Yrs****Hiring ,  C...",CORE PYTHON DEVELOPMENT ENGINEER  /  PYTHON EXPERT,"Python, Numpy, Pandas, OOPs, APIs, oracle, pl, /, sql, control-m, plsql, aix, database, python, scripting, devops, linux, oops, software, engineering, rest, team, player, svn, windows, unix",Gurgaon,few days ago
elk education consultants private limited,Perks  & amp; BenefitsSalary: Rs 3 Lacs - 3.5 Lacs p.aKey SkillsPythonDjangoMachine learningNeural networksNumPyGood ProgrammingDeep learningData Anal...,Junior Python Developer  /  Senior Python Developer - Chennai,"python, django, machine, learning, data, analytics, network, security, ece, team, player, sql, database",Chennai,few days ago
SAMPOORNA CONSULTANTS PVT LTD,Looking for a Senior Python Developer with 5+ years of experience into Python. The Candidate is responsible for contributing remarkably to the complet...,Python Developer - J48361,Python,Bengaluru / Bangalore,5 days ago
Sparks To Ideas,IT Services Company with expert professionals that provides strategic business solutions and customized software. It is a team of dedicated and highly...,Want Python  interns,"Django, Advance, Python, Core, python, Phycharm, Numphy, Pandas, Machine, Learning",Ahmedabad,Posted today
Sparks To Ideas,IT Services Company with expert professionals that provides strategic business solutions and customized software. It is a team of dedicated and highly...,"""Lead Python Developer""","Django, Core, python, advance, python, Nmphy, Pandas, Pycharm, Machine, learning",Ahmedabad,Posted today
krazy mantra hr solutions,Hiring For Pyspark  Python  SQLPyspark  Python  SQLDesired ProfileSkills : Pyspark Python SQLNotice Period0- 30 daysEducationFull-time graduateLocatio...,Hiring For Pyspark  Python  SQL,"pyspark, python, sql, data, analysis, big, data","Chennai,  Pune,  Kolkata",1 day ago
TAURUS HARD SOFT SOLUTIONS,"Company Description Taurus Hard Soft Solutions Pvt Ltd. is a Private Limited Company. ""Technology  &  Service at your Reach""-That is more than just a ...",Hiring Python coding specialist,"python, debugging, java, programming",Bengaluru / Bangalore,few days ago
TAURUS HARD SOFT SOLUTIONS,"Company Description Taurus Hard Soft Solutions Pvt Ltd. is a Private Limited Company. ""Technology  &  Service at your Reach""-That is more than just a ...",Python coding specialist,"python, debugging, java, programming",Bengaluru / Bangalore,few days ago
TAURUS HARD SOFT SOLUTIONS,"Company Description Taurus Hard Soft Solutions Pvt Ltd. is a Private Limited Company. ""Technology  &  Service at your Reach""-That is more than just a ...",SR Python coding specialist,"python, debugging, java, programming",Bengaluru / Bangalore,few days ago
TAURUS HARD SOFT SOLUTIONS,"Company Description Taurus Hard Soft Solutions Pvt Ltd. is a Private Limited Company. ""Technology  &  Service at your Reach""-That is more than just a ...",JR Python coding specialist,"python, debugging, java, programming",Bengaluru / Bangalore,few days ago
TAURUS HARD SOFT SOLUTIONS,"Company Description Taurus Hard Soft Solutions Pvt Ltd. is a Private Limited Company. ""Technology  &  Service at your Reach""-That is more than just a ...",Python coding specialist,"python, debugging, java, programming",Bengaluru / Bangalore,few days ago
TAURUS HARD SOFT SOLUTIONS,"Company Description Taurus Hard Soft Solutions Pvt Ltd. is a Private Limited Company. ""Technology  &  Service at your Reach""-That is more than just a ...",Hiring Python coding specialist,"python, debugging, java, programming",Bengaluru / Bangalore,few days ago
TAURUS HARD SOFT SOLUTIONS,"Company Description Taurus Hard Soft Solutions Pvt Ltd. is a Private Limited Company. ""Technology  &  Service at your Reach""-That is more than just a ...",Software Engineer  ( python coding ),"python, debugging, java, programming",Bengaluru / Bangalore,few days ago
